timestamp,open,high,low,close,volume
2025-09-06,92586.84000000,96800.00000000,91599.82000000,94594.49000000,1228.14573049
2025-08-31,101377.69000000,105751.45000000,91970.11000000,92613.46000000,6330.17314570
2025-07-31,90931.78000000,104700.00000000,89070.00000000,101383.62000000,7331.39714271
2025-06-30,92308.49000000,96827.63000000,85424.24000000,90926.69000000,5866.02037475
2025-05-31,83190.39000000,99358.54000000,82260.25000000,92311.30000000,7529.99367554
2025-04-30,76308.54000000,84344.93000000,65826.00000000,83197.46000000,12517.54549967
2025-03-31,81292.59000000,91879.20000000,70570.00000000,76328.78000000,13622.24409031
2025-02-28,98887.87000000,99421.84000000,75141.16000000,81285.36000000,12128.30686195
2025-01-31,90119.83000000,105951.19000000,87437.71000000,98885.16000000,12861.42247124
2024-12-31,91143.07000000,103000.00000000,86600.00000000,90119.83000000,13550.93466164
2024-11-30,64506.42000000,95501.25000000,61410.68000000,91143.29000000,20115.84959976
2024-10-31,56850.00000000,68000.00000000,53904.09000000,64506.43000000,8042.34604365
