timestamp,open,high,low,close,volume
2025-09-05 19:55:00,248.3100,248.5000,248.2500,248.2500,258
2025-09-05 19:50:00,248.3100,248.3100,248.3000,248.3000,7
2025-09-05 19:45:00,248.4500,248.5000,248.3000,248.4000,59
2025-09-05 19:40:00,248.5000,248.5000,248.4500,248.4500,16
2025-09-05 19:35:00,248.5000,248.5000,248.2725,248.2725,5
2025-09-05 19:30:00,248.4900,248.5000,248.4000,248.5000,57
2025-09-05 19:25:00,248.5000,248.5000,248.4500,248.4900,7
2025-09-05 19:20:00,248.2557,248.4900,248.2557,248.4900,478
2025-09-05 19:15:00,248.5000,248.5000,248.5000,248.5000,105
2025-09-05 19:10:00,248.5048,248.5048,248.3000,248.5048,13
2025-09-05 19:05:00,248.5200,248.5300,248.5200,248.5300,9
2025-09-05 19:00:00,248.5300,248.5300,248.5200,248.5200,595841
2025-09-05 18:55:00,248.5300,248.5300,248.5200,248.5299,30
2025-09-05 18:50:00,248.4900,248.5300,248.3100,248.5210,445
2025-09-05 18:45:00,248.4900,248.4900,248.4900,248.4900,16
2025-09-05 18:40:00,248.2600,248.3000,248.2500,248.3000,30
2025-09-05 18:35:00,248.5100,248.5100,248.0100,248.3000,206
2025-09-05 18:30:00,248.5300,248.5300,248.3000,248.5200,596062
2025-09-05 18:25:00,248.3100,248.3100,248.3100,248.3100,100
2025-09-05 18:20:00,248.5300,248.5300,248.2600,248.2800,25
2025-09-05 18:15:00,248.5200,248.5200,248.2500,248.2500,4
2025-09-05 18:10:00,248.2950,248.5300,248.2500,248.3300,59
2025-09-05 18:05:00,248.3100,248.5200,248.3100,248.5200,11
2025-09-05 18:00:00,248.2600,248.5300,248.2600,248.3100,6
2025-09-05 17:55:00,248.3100,248.3100,248.3100,248.3100,30
2025-09-05 17:50:00,248.3000,248.3000,248.2600,248.2675,108
2025-09-05 17:45:00,248.5000,248.5000,248.2600,248.3000,507
2025-09-05 17:40:00,248.5000,248.5900,248.4000,248.5685,16
2025-09-05 17:35:00,248.4000,248.4000,248.4000,248.4000,9
2025-09-05 17:30:00,248.5940,248.5940,248.2500,248.2500,60
2025-09-05 17:25:00,248.5000,248.5100,248.5000,248.5100,210
2025-09-05 17:20:00,248.6000,248.6000,248.5000,248.5000,669
2025-09-05 17:15:00,248.5700,248.5700,248.5500,248.5700,10
2025-09-05 17:10:00,248.6000,248.6000,232.1304,248.6000,64
2025-09-05 17:05:00,248.5600,248.6000,248.2500,248.6000,18
2025-09-05 17:00:00,248.5400,248.5400,248.2500,248.2500,110
2025-09-05 16:55:00,248.6000,248.6000,248.4000,248.5700,62
2025-09-05 16:50:00,248.4000,248.4000,248.2500,248.2500,15
2025-09-05 16:45:00,248.2500,248.6000,248.2500,248.5685,63
2025-09-05 16:40:00,248.4300,248.5800,248.2500,248.2500,42
2025-09-05 16:35:00,248.4000,248.5900,248.2580,248.5900,4664
2025-09-05 16:30:00,248.3400,248.5900,248.2600,248.5000,85
2025-09-05 16:25:00,248.2600,248.3500,248.2520,248.3500,434
2025-09-05 16:20:00,248.5300,248.6500,248.2500,248.2500,313
2025-09-05 16:15:00,248.5300,248.7700,248.2500,248.7700,590
2025-09-05 16:10:00,248.5300,248.5300,248.2600,248.5300,600997
2025-09-05 16:05:00,248.2000,248.7600,247.8800,248.5200,1670
2025-09-05 16:00:00,248.6800,248.9700,248.2000,248.7700,1294087
2025-09-05 15:55:00,248.1200,248.7400,248.1200,248.6800,241032
2025-09-05 15:50:00,248.4300,248.5000,247.9600,248.1073,79992
2025-09-05 15:45:00,248.5600,248.5900,248.2801,248.3300,66010
2025-09-05 15:40:00,248.5400,248.6350,248.4900,248.5500,49041
2025-09-05 15:35:00,248.4760,248.6700,248.4001,248.5150,53475
2025-09-05 15:30:00,248.7400,248.7700,248.4450,248.5100,36879
2025-09-05 15:25:00,248.8200,248.8995,248.7500,248.7500,37485
2025-09-05 15:20:00,248.6400,248.8200,248.6100,248.8100,23008
2025-09-05 15:15:00,248.2700,248.6300,248.2600,248.5700,24501
2025-09-05 15:10:00,248.3000,248.3300,248.1200,248.2750,27080
2025-09-05 15:05:00,248.0800,248.3300,248.0800,248.2700,20285
2025-09-05 15:00:00,248.4100,248.4100,248.0200,248.0700,31337
2025-09-05 14:55:00,248.3300,248.4675,248.2900,248.4675,28256
2025-09-05 14:50:00,248.2600,248.5700,248.1700,248.3300,47882
2025-09-05 14:45:00,248.1800,248.2500,248.0550,248.2400,16413
2025-09-05 14:40:00,248.1100,248.2193,248.0800,248.1500,27824
2025-09-05 14:35:00,247.9700,248.1000,247.8750,248.0900,20346
2025-09-05 14:30:00,247.6600,247.9850,247.6600,247.9650,21358
2025-09-05 14:25:00,247.5300,247.7200,247.4200,247.6600,24407
2025-09-05 14:20:00,247.7000,247.7000,247.4950,247.5300,17813
2025-09-05 14:15:00,247.3900,247.6500,247.3000,247.6450,16793
2025-09-05 14:10:00,247.2000,247.3900,247.1600,247.3900,13167
2025-09-05 14:05:00,246.4200,247.2450,246.3900,247.2100,44085
2025-09-05 14:00:00,246.5700,246.7000,246.3700,246.3900,25506
2025-09-05 13:55:00,246.6100,246.6600,246.3800,246.5250,18043
2025-09-05 13:50:00,246.4500,246.7300,246.4400,246.6800,23885
2025-09-05 13:45:00,246.5900,246.6150,246.4680,246.5000,17854
2025-09-05 13:40:00,246.8182,246.8182,246.4500,246.5900,13742
2025-09-05 13:35:00,246.6300,246.8150,246.4900,246.7600,31806
2025-09-05 13:30:00,246.2700,246.6297,246.1800,246.6297,73471
2025-09-05 13:25:00,246.6800,246.6800,246.2500,246.3200,13429
2025-09-05 13:20:00,246.5500,246.7492,246.4700,246.6750,10122
2025-09-05 13:15:00,246.6399,246.6800,246.5500,246.6300,11054
2025-09-05 13:10:00,246.5400,246.6600,246.5400,246.6400,8615
2025-09-05 13:05:00,246.4550,246.5900,246.3900,246.5600,8574
2025-09-05 13:00:00,246.9050,246.9050,246.4400,246.4550,15307
2025-09-05 12:55:00,246.6600,246.9388,246.6505,246.9100,10212
2025-09-05 12:50:00,246.5600,246.7300,246.3901,246.6600,13570
2025-09-05 12:45:00,246.8850,246.9300,246.5500,246.5500,14054
2025-09-05 12:40:00,246.6350,246.9400,246.6350,246.8850,8093
2025-09-05 12:35:00,246.6750,246.7200,246.5500,246.6400,10269
2025-09-05 12:30:00,246.5850,246.8254,246.5101,246.6300,15477
2025-09-05 12:25:00,246.4000,246.5900,246.3750,246.5900,14741
2025-09-05 12:20:00,246.7200,246.7200,246.2800,246.4000,11495
2025-09-05 12:15:00,247.0400,247.0400,246.4600,246.6700,10042
2025-09-05 12:10:00,246.8550,247.0816,246.8000,247.0800,12925
