timestamp,open,high,low,close
2025-09-05,1.16480,1.17590,1.16450,1.17170
2025-09-04,1.16590,1.16690,1.16280,1.16490
2025-09-03,1.16420,1.16820,1.16060,1.16610
2025-09-02,1.17090,1.17180,1.16100,1.16380
2025-09-01,1.16840,1.17360,1.16830,1.17090
2025-08-29,1.16820,1.17080,1.16490,1.16840
2025-08-28,1.16370,1.16970,1.16270,1.16820
2025-08-27,1.16420,1.16470,1.15730,1.16370
2025-08-26,1.16180,1.16650,1.15990,1.16420
2025-08-25,1.17150,1.17270,1.16010,1.16180
2025-08-22,1.16050,1.17420,1.15810,1.17150
2025-08-21,1.16520,1.16620,1.15980,1.16050
2025-08-20,1.16490,1.16730,1.16210,1.16510
2025-08-19,1.16590,1.16920,1.16370,1.16460
2025-08-18,1.16910,1.17160,1.16550,1.16600
2025-08-15,1.16470,1.17150,1.16440,1.16970
2025-08-14,1.17050,1.17150,1.16300,1.16460
2025-08-13,1.16740,1.17300,1.16670,1.17040
2025-08-12,1.16140,1.16970,1.15970,1.16730
2025-08-11,1.16370,1.16750,1.15890,1.16140
2025-08-08,1.16650,1.16790,1.16280,1.16390
2025-08-07,1.16590,1.16980,1.16090,1.16650
2025-08-06,1.15710,1.16680,1.15630,1.16590
2025-08-05,1.15700,1.15870,1.15250,1.15740
2025-08-04,1.15770,1.15960,1.15470,1.15700
2025-08-01,1.14140,1.15970,1.13890,1.15840
2025-07-31,1.14040,1.14600,1.14020,1.14150
2025-07-30,1.15450,1.15720,1.13990,1.14040
2025-07-29,1.15880,1.15990,1.15150,1.15450
2025-07-28,1.17460,1.17720,1.15840,1.15880
2025-07-25,1.17470,1.17610,1.17020,1.17400
2025-07-24,1.17700,1.17880,1.17290,1.17540
2025-07-23,1.17520,1.17750,1.17090,1.17700
2025-07-22,1.16950,1.17600,1.16770,1.17530
2025-07-21,1.16180,1.17160,1.16140,1.16950
2025-07-18,1.15950,1.16710,1.15890,1.16250
2025-07-17,1.16400,1.16420,1.15550,1.15950
2025-07-16,1.15990,1.17210,1.15610,1.16340
2025-07-15,1.16660,1.16920,1.15900,1.15990
2025-07-14,1.16730,1.16970,1.16490,1.16630
2025-07-11,1.17000,1.17130,1.16630,1.16890
2025-07-10,1.17200,1.17490,1.16610,1.17000
2025-07-09,1.17240,1.17290,1.16890,1.17190
2025-07-08,1.17090,1.17650,1.16820,1.17240
2025-07-07,1.17700,1.17900,1.16860,1.17070
2025-07-04,1.17560,1.17870,1.17520,1.17780
2025-07-03,1.17980,1.18090,1.17170,1.17560
2025-07-02,1.18020,1.18090,1.17460,1.17980
2025-07-01,1.17860,1.18290,1.17590,1.18050
2025-06-30,1.17110,1.17880,1.17020,1.17860
2025-06-27,1.16950,1.17540,1.16790,1.17190
2025-06-26,1.16580,1.17440,1.16530,1.16990
2025-06-25,1.16080,1.16650,1.15890,1.16590
2025-06-24,1.15760,1.16410,1.15730,1.16080
2025-06-23,1.14790,1.15810,1.14510,1.15760
2025-06-20,1.14940,1.15430,1.14890,1.15220
2025-06-19,1.14830,1.14990,1.14450,1.14940
2025-06-18,1.14790,1.15300,1.14600,1.14790
2025-06-17,1.15660,1.15770,1.14740,1.14790
2025-06-16,1.15350,1.16140,1.15220,1.15610
2025-06-13,1.15810,1.16140,1.14880,1.15520
2025-06-12,1.14910,1.16310,1.14840,1.15830
2025-06-11,1.14260,1.14990,1.14040,1.14870
2025-06-10,1.14220,1.14470,1.13720,1.14230
2025-06-09,1.13910,1.14390,1.13850,1.14200
2025-06-06,1.14430,1.14570,1.13690,1.13940
2025-06-05,1.14157,1.14950,1.14043,1.14416
2025-06-04,1.13749,1.14344,1.13567,1.14157
2025-06-03,1.14398,1.14546,1.13638,1.13750
2025-06-02,1.13494,1.14498,1.13454,1.14377
2025-05-30,1.13672,1.13900,1.13121,1.13450
2025-05-29,1.12940,1.13845,1.12098,1.13690
2025-05-28,1.13309,1.13456,1.12834,1.12925
2025-05-27,1.13855,1.14071,1.13230,1.13304
2025-05-26,1.13667,1.14187,1.13617,1.13848
2025-05-23,1.12803,1.13757,1.12785,1.13606
2025-05-22,1.13282,1.13450,1.12555,1.12791
2025-05-21,1.12823,1.13628,1.12787,1.13281
2025-05-20,1.12433,1.12858,1.12177,1.12822
2025-05-19,1.11737,1.12881,1.11711,1.12431
2025-05-16,1.11883,1.12196,1.11307,1.11640
2025-05-15,1.11763,1.12280,1.11700,1.11872
2025-05-14,1.11855,1.12658,1.11643,1.11749
2025-05-13,1.10878,1.11947,1.10868,1.11856
2025-05-12,1.12136,1.12428,1.10651,1.10880
2025-05-09,1.12268,1.12929,1.11964,1.12460
2025-05-08,1.13120,1.13362,1.12116,1.12261
2025-05-07,1.13721,1.13782,1.12914,1.13106
2025-05-06,1.13157,1.13811,1.12796,1.13715
2025-05-05,1.12990,1.13648,1.12968,1.13143
2025-05-02,1.12865,1.13810,1.12739,1.12952
2025-05-01,1.13253,1.13411,1.12655,1.12857
2025-04-30,1.13861,1.13994,1.13168,1.13253
2025-04-29,1.14202,1.14220,1.13698,1.13846
2025-04-28,1.13601,1.14250,1.13290,1.14198
2025-04-25,1.13849,1.13912,1.13155,1.13640
2025-04-24,1.13223,1.13980,1.13194,1.13857
2025-04-23,1.13651,1.14400,1.13072,1.13236
2025-04-22,1.15085,1.15473,1.13613,1.13623
2025-04-21,1.14072,1.15733,1.13900,1.15085
